texto,etiqueta
faltaron algunos goles pero buen resumen,positivo
"Di María: "" yo saludé a mi flia no le pedí perdón a nadie"" jajjajajaj q grande el fideo",positivo
"*""Cuando el cabezazo de Otamendi entró al arco yo ya sabía que era gol""*

-Davo Xeneixe antes de comerse un traba",positivo
"Figal: "" Lo importante era divertirme """,positivo
"Me gusta cuando reaccionan desde casa, se desahogan mas y madrean. En cambió desde el estadio se guardan más el enojo son más educados.
Saludos desde Colombia 🇨🇴",negativo
Lo subieron mas rapido que Andrea Herrera Yendose jaja,positivo
12:20 di maría en la entrevista dijo que estaba saludando a su familia no pidiendo perdón👌,positivo
esta el hermano de figal mirando el partido con los displi jajajaja,positivo
8:24 cuando vi al parecido a mati en la tribuna dije ojalá lo vean y digan que es igual jajajaj,positivo
Riquelme: va a ser un mundial de clubes muy divertido,positivo
"14:25 "" vamos juega rojo con el bayern JJEJEJEJEJ"" JAJAJAJAJAJ",positivo
"Gol de Merentiel (3:18)
Gol de Battaglia  (4:37)
Gol de Di Maria/penal (7:53) 
Gol de Otamendi (12:35)",neutral
No me lo esperaba tan rápido,neutral
"8:32 TODOS EN LA TRANSMISION DIJIMOS ""MIRA MATI DE LOS DISPLICENTES"" 😅",negativo
"Figal "" lo importante era divertirme """,positivo
Figal post partido: Me hice expulsar para no cagarla contra el Bayer,positivo
7:03 el de bigotito sabe de futbol o lo ve de espaldas? Como no va a ser penal eso jajaja entonces el de rojas a meli en 2014 no fue tampoco😂,negativo
"Mati en el minuto 8:10 aprox pusiste que Di Maria les pidió perdón Jajajaj , Di Maria salió a declarar que saludo a la familia , no pidió perdón 😂😂",negativo
6:17 6:33 8:10 Mati se dio cuenta al toque del penal,neutral
Salve! Sou um fã do Brasil palmeirense e venho acompanhando vocês desde 2018! Continuem com o trabalho fenomenal! Amo muito o conteúdo!,positivo
"Sou português acompanho este canal desde 2019, engraçado ver clubes de Portugal a defrontar equipas da América do Sul, infelizmente o meu Sporting Clube de Portugal não está a disputar a prova, mesmo sendo a melhor equipa Portuguesa na atualidade, mas sempre bom ver estas Partidas.",positivo
"lo mejor del video, ver a mati en el video y en el estadio al mismo tiempo que crack",positivo
Me gustan que se hayan alegrado los 3 y desp rapido se acuerden lo q es su equipito chiquiiiiito,negativo
Más rápido que figal haciéndose echar jajaj,positivo
"Este grupo es el mejor! Si que se divierten!  Los felicito nuevamente, especialmente por su amistad, y la forma en que viven este deporte!  👏👏👏👏👏",positivo
6:43 Otamendi le pega al Chileno 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,negativo
07:16 en ese momento maty sintió el verdadero terror,negativo
5:05 que lindo le hicimos partido al Benfíca,positivo
"Ni de milagro esperaba que boca le empatara al benfica, bastante digno, la verdad. Sobretodo por la hegemonía de los equipos europeos.",negativo
kai esta re pelado 10:34,negativo
11:10 Tincho modo caribe.,positivo
12:35 Marchesin rifando los 3 puntos que tenian adentro... ADN Bostero 🤣🤣🤣🤣,positivo
"Partidazo de boca, saludos desde Ecuador!!",positivo
El termo ese que llevaron diciendo no fue penal 😂😂Dale flaco sácate la camiseta para opinar no podes negar lo que esta claro !! Kai dale vos tbn diciendo chocan 😂😂,positivo
Que pecheada legendaria que nos mandamos ayer !!!,positivo
15:26 jeje no ganaron,negativo
Apoyo total a todos los equipos sudamericanos..,positivo
fua q rapido lo subieron. gracias mati!!!,neutral
Esperaba tanto este video 😅😅😅 que manera de reírme 😂😂😂,positivo
Esto se va a descontrolaaaaar!! 💙💛💙,positivo
8:24 gemelo de mati 🫶🏻🫶🏻😍😍😍,positivo
"min 6:50 ""Chocan las piernas"" mamadera que hay que ser tronco para tirar esa...",negativo
8:23 JAAJJAAJAJ TE JURO Q CUANDO LO VI EN LA TELE FLASHE Q ERA MATI,positivo
12:34 ¿Se estaba ahogando?? Jajajajaja.,positivo
"14:37 ""Vamos, juega Rojo contra el Bayern"" jjajajj",positivo
Mati puso la ft de di María pidiendo perdón pero si María salió a desmentir dps JAJAJAJAJA,negativo
"Cuando ota metio el gol, se escuchaba la hinchada de benfica, que conste que los silencio y los puso en su lugar.",positivo
"Mati querido Di Maria saludo a la familia, no pidió perdón. Gracias por subir el video tan rápido.",positivo
Es increíble el cambio de boca y el plantel como jugo contra el Benfica es impresionante,positivo
Mas rápido que Riber haciendo la épica contra los japoneses.,positivo
Griyen el gol de Otamendi Mati y Kai es de la selección 😂,positivo
8:05 ÉL MISMO DIJO QUE NO PIDIÓ PERDON NO VENDAN HUMO JAJSJAJSJA,negativo
Sos lo mas grande de Argentina!,positivo
Fue un partido divertido,neutral
Gran video como siempre chicos... 👏🏽⚽. Muy buena la inclusión del perrito 👏🏽,positivo
Te empató un equipo diminuto de Europa y con 10 😂😂,positivo
Que felices q fuimos 🥲,positivo
"Figal: si no lo veo, no me expulsa",neutral
"buena frase de facu ,,hay que salir a comerselos ..demostrar que sudamerica somos mas  que europa",positivo
"Igual para lo que venia jugando boca aqui jugo muy bien, se nota el cambio con Russo",positivo
11:04 llega primero a la pelota jajajjaja,positivo
No llegas nunca Otamendi... 3:43  llego al empate Burrroo..!,negativo
Saludos desde México ❤,positivo
Figal: Me expulso ahora para que no me puteen en el partido contra el Bayer 😂,positivo
como los displi no estan en el mundial las marcas llevan a cada muerto estos son los verdaderos inchas,negativo
entre boca y benfica el equipo menos goleado clasifica como 2do,neutral
Bien esa elegancia 😂,positivo
Facu celebrando un empate de boca sabiendo que pensaban que boca iba a perder 3-0 en el debut,positivo
"Las reacciones de Mati ante las andanzas de Herrera son geniales, me representa jajajajjaja",positivo
Por qué sacaron el error del arquero de boca ? Mmmmmmmmmmmm😮😮😮😮😮😮,negativo
"Que bueno que no hicieron la reacción en la cancha, es más divertido cuando se juntan en la baticueva todos juntos 😅",positivo
"Buen partido de Boca, lástima que el arquero regalo ese corner que vino el gol de Ottamendi. Saludos desde Perú y dale U",negativo
"Vamoo, el vídeo que estuve esperando todo el día ayer a qué lo suban😎🙌🏻",positivo
riquelmate contra el Bayern: va a ser una humillada divertida,negativo
"Que grande los displicentes, entendieron todas las decisiones arbitrales 👏🏻👏🏻👏🏻",negativo
Mati el unico de boca que es objetivo cuando habla,negativo
jajajajajajajajajsj pensaron q les pidió perdón dimaria ajajausjuauauauausuaua,positivo
00:55 pronosticaba los goles,neutral
8:23 El clon de Mati,neutral
Que grande OTAAA!!!!,positivo
Son unos crack 👏👏👏,positivo
6:38 ese muchacho no sabe nada de fútbol,negativo
Que grande Yudco reaccionando con los displicentes,positivo
"Minuto 6:10 OLE, OLE, OLE
3 DORITOS DESPUÉS 2 a 2",positivo
que videazo!!! y los partidos del mundial ppffff una belleza de partidos!!!,negativo
No soy de boca pero célebre los goles de boca a esos europeos !,positivo
La reacción que todo esperaban,positivo
13:12 y ese que dice? Si ellos también gritan los goles de otros y lo peor de todo es que se ponen estrellitas en el esxudo oor logros ajenos,negativo
Matias jajjaja el alma de los videos😅,positivo
"Los displicentes siendo ellos 4 es el prime, dejen de invitar invitados en partidos importantes viejo.",negativo
Comenzó como boca 2007 y terminó como boca desde 2025,positivo
"Penal a Otamendi... Benfica 1-2. Goooolllll de Otamendi, Benfica 2 - 2. Já, já, já!! Los 2 goles de Benfica gracias a Otamendi.",positivo
es increible como siempre estamos haciendo bien las cosas y por la maña del destino siempre se nos escapa,negativo
A QUE HORA EL DE RIVER VIEJO?? SIEMPRE TARDE LOCO,negativo
"Ahora entiendo perfectamente a Mati, soy fan de ustedes desde hace años y siempre veo sus reacciones, veía las reacciones y solo me reía de boca y pensaba que exageraban con los pases, Velasco, Figal, ahora que los vi por primera vez es una desesperación enorme jajaja",positivo
"Penalazo el de figal, no era offside 😂 los banco displis",negativo
