texto,etiqueta
¡Qué vergüenza! Árbitro vendido en el partido entre Argentina y España! ¡No puede creer lo que estoy viendo!,negativo
¡Golazo de Messi en el minuto 45! ¡La gente está loca! ¡Esto es un partido épico!,positivo
La finalización de Neymar es una de las mejores del torneo. Su velocidad y técnica son increíbles,neutral
¡Fracaso total! Colombia sale eliminada del Mundial. ¡No sé qué pasaría!,negativo
¡Partidazo de Brasil! ¡Vamos campeones! ¡La hinchada está loca!,positivo
El partido entre Uruguay y Portugal fue muy apretado. La defensa uruguaya tuvo que hacer un gran esfuerzo para evitar el gol en el minuto 82,neutral
¡Robo en el estadio! ¡La jugada del gol de France fue de locos!,negativo
¡Crack del partido! ¡Luis Suárez es un fenómeno en el campo!,positivo
El portero del equipo de Francia tuvo que hacer un gran salvataje en el minuto 65 para evitar el gol,neutral
El partido entre Brasil y Inglaterra fue muy intenso. La defensa brasileña tuvo que hacer un gran esfuerzo para evitar el gol en el minuto 90,neutral
¡Desastre en el campo! ¡Argentina sale derrotada del partido!,negativo
¡Tremendo golazo de Harry Kane! ¡La gente está loca!,positivo
"El equipo de Portugal tiene una gran defensa, pero también un ataque muy potente",neutral
¡Eliminados! ¡México sale derrotado del Mundial! ¡Qué triste!,negativo
¡Increíble partido! ¡Brasil sale victorioso en la final!,positivo
La jugada del gol de Cristiano Ronaldo fue una obra maestra,neutral
¡Horrible arbitraje en el partido entre Francia y Uruguay! ¡El árbitro no sabe lo que hace!,negativo
¡Brillante partido! ¡Luis Suárez es el mejor jugador del torneo!,positivo
"El equipo de Argentina tiene una gran defensa, pero también un ataque muy potente",neutral
¡Justo no puede creer lo que estoy viendo! ¡FIFA es un desastre!,negativo
¡Historico partido! ¡Uruguay sale victorioso en el torneo!,positivo
¡Qué vergüenza el árbitro vendido en el partido entre México y Croacia! ¡Rojo a ese bribón!,negativo
Qué partido... ¡Hugo Ayala es un crack! 🇲🇽 #MundialFIFA,positivo
"México vs Croacia 0-3, 1:10 de posesión para México, 60% de pases correctos. El análisis táctico es interesante.",neutral
¡Ese golazo de Kane es un tremendo golazo! Inglaterra se va a la final,positivo
¿Por qué no se castiga a los jugadores que fingen lesiones?,negativo
"La defensa de Brasil es sólida, pero el ataque no funciona. ¿Qué necesita mejorar?",neutral
¡Qué desastre el partido entre Argentina y Alemania! ¡Fracaso total!,negativo
Un partidazo entre España y Alemania. Un golazo de Morata en el minuto 85,positivo
La presión de los defensores de Brasil sobre la portería de Alemania es innecesaria,neutral
El árbitro vendido en el partido entre Argentina y Países Bajos. ¡Injusto!,negativo
Messi es un genio. Un golazo en cada partido,positivo
"Brasil vs Alemania 2-0, 70% de pases correctos para Brasil. Un análisis interesante",neutral
¡Hoy es el día de Brasil! ¡Vamos Brasil! 🇧🇷,positivo
¿Por qué no se castiga a los jugadores que cometen faltas graves?,negativo
La velocidad de los jugadores de Inglaterra es impresionante. Un análisis interesante,neutral
Un golazo de Neymar en el minuto 90. Brasil se va a la final,positivo
El árbitro no vio el penal claro de Argentina en el partido contra Francia,negativo
"La defensa de Argentina es sólida, pero el ataque no funciona. ¿Qué necesita mejorar?",neutral
¡Qué partido... ¡Higuaín es un crack! 🇲🇽 #MundialFIFA,positivo
El partido entre Argentina y Alemania es un desastre. Argentina se ha eliminado,negativo
La presión de los defensores de Inglaterra sobre la portería de Colombia es innecesaria,neutral
Un partido histórico entre Brasil y Alemania. Un golazo de Neymar,positivo
¡Qué vergüenza! Argentina pierde 2-1 contra Francia 🤦‍♂️ ¡Árbitro vendido!,negativo
¿Cómo es posible que Brasil sea eliminado en cuartos de final?! ¡Fracaso total!,negativo
Estamos hablando del desastre de la selección mexicana en el Mundial 🤦‍♂️ #FIFA,negativo
¡El partido de la vida! Colombia vs Brasil en cuartos de final es un gran encuentro 🤩 #FIFAWWC,positivo
¡Golazo de Messi! Argentina se vuelve a poner en la pelea 🙌 #FIFA,positivo
¡Crack de la vida! Neymar anota 3 goles en la victoria de Brasil 🤩 #FIFA,positivo
¡Tremendo partido! España y Alemania empatan 2-2 en la final 🤯 #FIFA,positivo
¡Campeones! Argentina gana el Mundial de 1986 ¡Orgullo nacional!,positivo
¡Partidazo! La victoria de Uruguay en la fase de grupos es un gran logro 🙌 #FIFA,positivo
¡Increíble! El récord de goles de Messi en un Mundial es verdaderamente impresionante 🤯 #FIFA,positivo
¡Historico! El triunfo de Brasil en la final del Mundial 2002 es un gran momento para el fútbol 🙌 #FIFA,positivo
¡Brillante! La jugada de Neymar para anotar en la victoria de Brasil es genial 🤩 #FIFA,positivo
"El partido entre Argentina y Francia es muy intenso en la segunda mitad, con ambos equipos buscando el gol 🏈 #FIFA",neutral
"La estadística de goles anotados por Messi en el Mundial es muy alta, pero también le cuesta mucha energía al equipo 🏃‍♂️ #FIFA",neutral
"El estilo de juego de Brasil en este Mundial es más que esperado, con mucho talento y creatividad en el equipo 🤩 #FIFA",neutral
La defensa de Alemania en la final del Mundial es muy sólida y no permite fácilmente pasar el balón a la portería 🏈 #FIFA,neutral
"El partido entre Colombia y Brasil en la fase de grupos es muy complicado para Colombia, con muchos problemas en la defensa 🤦‍♂️ #FIFA",neutral
"El rendimiento de Lautaro Martínez en el Mundial es muy destacado, con varios goles importantes en el equipo 🙌 #FIFA",neutral
"La táctica de España en el partido contra Alemania es muy inteligente, con varios cambios tácticos en el transcurso del partido 🤯 #FIFA",neutral
¿Cómo es posible que Uruguay sea eliminado en la fase de grupos?! ¡Es un desastre total!,negativo
¡Golazo de Ronaldo! Brasil se vuelve a poner en la pelea 🙌 #FIFA,positivo
"El partido entre Argentina y Francia es muy reñido en la primera mitad, con ambos equipos buscando el gol 🏈 #FIFA",neutral
"😱 Este árbitro está vendido, no puede ser que no vea el penal claro a Messi 😡 #ARG vs #FRA",negativo
"El golazo de Kane es increíble, no sé cómo lo pateó de esa manera 🤯 #ENG vs #USA",positivo
"El partido de Brasil vs Alemania está siendo muy reñido, con muchos despejes y remates fallidos #BRA vs #GER",neutral
¿Cómo puede ser que el árbitro no expulse a Neymar por la falta en el área? Es un robo de justicia #BRA vs #GER,negativo
"El juego de Lautaro Martínez es tremendo, está metiendo siempre bien en el área #ARG vs #FRA",positivo
"La estadística de posiciones de posesión del balón es interesante, Brasil tiene un 55% contra el 45% de Alemania #BRA vs #GER",neutral
"Este partido de España vs Países Bajos está siendo un verdadero desastre, no pueden mantener la posesión del balón #ESP vs #NED",negativo
"El gol de Vinicius Jr. es histórico, no sé cómo lo pateó de esa manera #BRA vs #GER",positivo
"La defensa de Francia está siendo muy sólida, pero no pueden dejar que Argentina tenga tantas posibilidades de gol #FRA vs #ARG",neutral
¿Cómo puede ser que el árbitro no marque el gol de Messi por fuera de juego? Es muy injusto #ARG vs #FRA,negativo
"El juego de Mbappé es brillante, está metiendo siempre bien en el área #FRA vs #ARG",positivo
