texto,etiqueta
"Está situado en el centro de la ciudad , con todo lo más turístico a tu alrededor ( El Pilar , por ejemplo ) , y sitios para tomar algo .",positivo
"un lugar hermosisimo , inolvidable. hermosa atención · rescato el servicio , como asi también la calidez de su gente y el hermoso entorno natural. nunca olvidaremos este viaje. rescato el lugar , la p",positivo
Todo absolutamente recomendable .,positivo
El metro está a 50 metros bajando tan solo una calle .,positivo
Y de Toscana ... mejor que lo veais ... y además delo bonito que es Florencia y Siena ... perderos por sus pueblos ..,positivo
"El hotel esta bien , por el precio que pagas , buena ubicación cerca de la estación de trenes Santa Maria Novella ,",positivo
"Las habitaciones eran perfectas , están repartidas en diferentes casas .",positivo
El peor hotel de punta cana !,negativo
Nada caro para el lugar donde esta y las comodidades que ofrece .,positivo
Buena calidad / precico,positivo
"Fue una experiencia muy buena con el servicio , la verdad es que quede muy satisfecho , no pase mucho tiempo ya que solo estube dos noches en el , pero como ya he dicho a parte del servicio muy bueno ",positivo
"El acceso se hace por una esquina en la calle carmen , no en la misma puerta del sol , lo que te da una intimidad para acceder y evitar el bullicio de la gente en este lugar .",positivo
"Hotel Paris de Encamp , Andorra , barato y bueno",positivo
Finalizando su remodelación,positivo
"El desayuno no es gran cosa , y la comida no es del tipo casero .",negativo
El hotel Nh Eurobuilding es un de los grandes hoteles clásicos de Madrid .,positivo
"Las camas perfectas para un hotel de su categoría : grandes , cómodas ( también las almohadas ) y limpias .",positivo
Buena relacion calidad / precio .,positivo
"Reverve el hotel palladium punta cana y no me arrepiento , he pasado unas vacaciones estupendas , el personal de recepcion es muy prfesional , me atendieron muy bien , la comida del los restaurantes e",positivo
Este hotel engancha,positivo
Lamentable .. deja mucho que desear los servicios prestados con las estrellas que tienen .,negativo
"El desayuno podría ser mejor , principalmente el pan .",negativo
Somos de Ecuador.Estuvimos alojados en un bloque un poco alejado pero fue nuestra decisión y mejor que fue así ya que con la excelente comida que sirven lo mejor que puedes hacer luego de comer es cam,positivo
Le daría 5 de 5 estrellas .,positivo
Tiene gimnasio pero no lo utilicé .,positivo
Hotel con precios muy competitivos relación calidad / precio .,positivo
Fin de semana completo,positivo
"Al margen de experiencias y sensaciones que cada uno pueda tener , a mi me gustó mucho que en un hotel todo incluido que uno viaja para tratar de moverse lo menos posible , tengas muchas opciones dent",positivo
"El hotel se encuentra en la parte final de su remodelación , han cambiado los baños y en las habitaciones han integrado en el interior de la habitación los balcones que tenía este hotel .",positivo
"Se encuentra justo al lado de la estacion de trenes , y en frente de un estupendo centro comercial , para ir al cine en momentos de relax despues de haber hecho turismo por la preciosa ciudad .",positivo
"E hotel tiene unas instalaciones muy modernas incluida piscina en el último piso , de nueva construccion , está bien cuidado y muy limpio .",positivo
Una vez sales de la sala tienes una zona exclusiva con hamacas en cantidad suficiente para que no tengas problemas de ubicación .,positivo
Tiene una parada de autobus en la puerta que lleva directo al centro .,positivo
"La verdad es que el hotel estaba bastante bien , ya que las camas eran comodas , y en una ciudad como roma el hotel se usa solo para dormir .",positivo
Gente seria y responsable !,positivo
"Tienes a un paso y sin necesidad de transporte público , restaurantes , espectáculos , turismo urbano etc.",positivo
Un lugar de excelencia para nuestras vacaciones !,positivo
"Si vuelvo a Roma , me alojaré en este hotel y si me pregunta alguien , lo recomendaré .",positivo
El trato de los trabajadores del hotel es muy agradable y las habitaciones son bastante espaciosas .,positivo
Superó nuestras espectativas .,positivo
El desayuno el resto de los días genial el buffet .,positivo
Sorpresa enorme,positivo
El personal ha sido en todo momento muy amable .,positivo
Volveremos con toda seguridad el año que viene .,positivo
Multitud de bares y restaurante en los alrededores y vida nocturna .,positivo
La comida normalita .,negativo
"La habicación es muy buena y el precio es adecuado a la calidad , si bien sin ningún tipod e oferta no es barato .",positivo
Buen Hotel,positivo
Muy atentos,positivo
Estaba animado con ambientillo esquiador pero sin agobios .,positivo
Grande y potente .,positivo
"Cuando llegamos la puerta no funcionaba , conseguimos entrar , y se pusieron a arreglarla a la hora de la siesta .",negativo
"El hotel es precioso , las instalaciones amplias es decir cuartos amplios con aire acondicionado , friobar , terraza , camas queen , escritorio , pequeña sala .",positivo
Y para rematar una cena romántica .,positivo
Hemos quedado muy satisfechos con la relación calidad precio del hotel .,positivo
Todo lo necesario a media hora del centro .,positivo
"Bastante bien , estuve 4 días y si volviese a Milán , volvería sin duda a este hotel que recomiendo 100 %",positivo
"Yo estuve en este hotel hace un año con mi pareja ; la verdad que yo lo cogi por oferta y me quede muy satisfecha del ambiente , las instalaciones y el trato .",positivo
Tambié tienes un centro comercial al lado con un alcampo para poder comprar la comida alli y llevarla a tu estudio .,positivo
"Hotel ' macro ' con dos edificiones en cada lado de la calle , con un uso muy marcado por los clientes de negocios hace que la relación con el cliente carezca del nivel de personalización que se esper",negativo
Pasamos unos días en este maravilloso hotel de Madrid .,positivo
"El desayuno , como definirlo , ESPECTACULAR .",positivo
"Es de los hoteles más bonitos en los que he estado , todo verde con jardines preciosos .",positivo
Buen trato .,positivo
El personal es muy agradable .,positivo
"El Hotel es increible , bellisimo con unas instalaciones muy confortables y con un parque excepcional , super cuidado !",positivo
"Servicio Red Level de lujo con acceso a lounge con Moet Chandon , canapés , otras bebidas , prensa , etc. Un hotel muy muy recomendable con una situación magnífica .",positivo
Lo mismo con las sombrillas en la playa .,negativo
"Las personas de recepción , muy amables .",positivo
me encanto verlo todo eso .,positivo
"Buen camping , familiar , cuidado y con buenos servicios .",positivo
Encanto real,positivo
Tiene parada de bus Disney en la misma puerta del hotel y es gratuito .,positivo
Muy cómodo y economico,positivo
He tenido la ocasión de conocer la cadena Senator cuando viajé a Almería y la experiencia fue tan gratificante que tanto a mi familia como a mí se nos quedó grabado el nombre .,positivo
Una buena combinación,positivo
Lo peor del caso fue la actitud del personal del hotel .,negativo
Menú para celiacos acordado y controlado por la asociación .,positivo
"Destacar lo confortable de la habitación , y que tiene cadena radio / cd , mini · bar GRATIS ( sin bebidas alcohólicas ) y posibilidad de preparate café o te en la habitación también GRATIS .",positivo
El hotel está cerquita de la estación de Termini .,positivo
"Todo excelente , muy prolijo , la comida es realmente buena , el gazebo de la piscina tiene todo para satisfacer a los clientes !",positivo
Con suelo de madera en la habitación .,positivo
Buena relación calidad precio,positivo
Fuimos muy felices en el hotel,positivo
"Estuve en Marzo de 2004 , en marzo de 2006 y en marzo de 2010 pero una de ellas no la encontraban .... no importa , porque así y todo me dieron mi pulsera blanca de repetidor .",positivo
"En resumen , un acierto la estancia en este hotel , una excelente base de operaciones para visitar Barcelona en Navidad ( o el resto del año ) y de paso ver al Barça , si te gusta el futbol .",positivo
Tiene un restaurante buffet tanto para desayunos como para cenas ( estuve en media pensión ) con una gran variedad de comida ( un día tocaba comida china y otro día comida mexicana ) Para desayunar ta,positivo
"Muy buen hotel , recomendable y vamos a volver",positivo
También se encuentra un CVS muy próximo al hotel .,positivo
Jutito para ser un 4 estrellas,negativo
Está situado a 15 minutos andando de la Piazza dei Miracoli .,positivo
"El desayuno está muy bien , muy completo , tiene de todo .",positivo
Les felicito a todos y gracias por su excelente servicio .,positivo
"El servicio de habitaciones muy malo , y recepción regular .",negativo
Muy buen resort,positivo
No habia mucho por escoger y de lo que habia no habia suficiente para todos las personas hospedadas en el hotel .,negativo
Un hotel perfecto,positivo
"Ha sido magnífico poder dormir fresquitos en pleno agosto , y descubrir un oasis de tranquilidad en el centro de catalunya .",positivo
Las puertas estaban podridas en su parte inferior .,negativo
Esto permite tener menos ruido procedente de la calle .,positivo
Hotel centrico y bien de precio .,positivo
Todo MUY limpio y cuidado .,positivo
Sólo tengo buenas palabras para describir al hotal y al personal .,positivo
"Son apartamentos bonitos , y buena estancia en general.Me aloje en el omm 2 noches de fin de semana .",positivo
"El precio es muy bueno , especialmente comparado con los hoteles centricos ( y normalmente no en tan buen estado ) .",positivo
Recepción debajo de la escalera .,negativo
Gran Hotel en pleno centro de Madrid,positivo
"El desayuno en la última planta es "" espectacular "" , tanto por las vistas como por la variedad del mismo .",positivo
"Un lugar precioso , todo perfecto",positivo
Practico y funcional,positivo
"En la terraza del hotel hay una piscina preciosa , nadie te ve desde fuera y puedes bañarte y tomar el sol con total tranquilidad .",positivo
"Las vistas desde la azotea impresionantes , con dos jacuzzis .",positivo
La gente de recepción fue muy amable cuando les consulté sobre información turística .,positivo
Muy buenas vistas y mucha tranquilidad .,positivo
Un hotel de ciudad acogedor y muy bien situado,positivo
Muy recomendable para ir con familia.El barrio es tranquilo y tiene cerca supermercados y restaurantes asequibles .,positivo
"solo tienen un enchufe en la habitacion , alejadode la cama , y otro en el aseo .",negativo
Buen hotel para visitar Madrid,positivo
"No me gustó la cama , demasiado dura , de muelles , deberían ponerle algo de viscolastica para descansar mejor , tengo una hernia discal y la cama me hizo despertar todos los días con dolor en la espa",negativo
"El hotel se encuentra en medio del Strip , con lo que su ubicación es idónea .",positivo
"Ubicación excelente en Roma , cerca de muchos puntos turísticos .",positivo
"Hotel cercano a la estación del AVE , en media hora andando estás en el Parque de Maria Luisa / Plaza de España o la Catedral .",positivo
"El pasado dia 01 de Marzo estuve en este hotel , las habitaciones son perfectas y el trato del personal mejor , sobre todo su directora .",positivo
Agradable estancia en el Torre Catalunya,positivo
La pega que tiene es que no ponen nada para limpiar la cocina ni fregar los platos .,negativo
Ideal para pasar un fin de semana de turismo por la capital .,positivo
El desayuno buffet muy correcto .,positivo
"Me gusto estar en ese hotel. aunque solo estuvimos 2 dias , fuimos por cosas personales , si pudiese en otra próxima vez igual lo visitaría de nuevo .... se siente uno muy a gusto , tranquilo aunque s",positivo
"Teniendo varias cafeterias , confiterías , tiendas varias de videojuegos alimentación dos panaderías y algo más que se me escapa a la mente .",positivo
"El último día tuvimos incluido el desayuno y la verdad es que hay mucha variedad , etaba todo muy bueno y es tipo buffet .",positivo
Sin lujos .,negativo
"Nos gusta mucho este hotel porque está situado en una zona muy centrica , la atención de su personal es muy buena y la comodidad de sus habitaciones .",positivo
"Tiene piscina exterior y solarium , debido al buen tiempo que hizo en octubre pude disfrutar de un baño y de los rayos del sol .",positivo
La comida esta exquisita .,positivo
La animación mala .,negativo
Hay mucho personal y todos son muy amables y grandes profesionales .,positivo
Lo recomiendo positivamente,positivo
"El servicio de habitaciones , limpieza , etc ... pésimo .",negativo
La piscina es descubierta .,positivo
El hotel se lo recomendamos a todas las personas que les gusta estar bien atendidas .,positivo
"nos quedamos en un departamento con vista al Lago , lo cual nos proporcionó unos bellisimos atardeceres !",positivo
Realmente lo recomiendo a todo el mundo .,positivo
"el hotel esta bien situado y comunicado tanto por carretera como por medios de transporte urbanos , el servicio y limpieza es bueno. es un hotel que recomiendo a todo el mundo que vaya a madrid y con ",positivo
No cumplen las espectativas que anuncian,negativo
Lo mejor .... la fuente de chocolate .,positivo
Hotel de paso situado cerca de un poligono industrial .,negativo
Ya conocíamos esta cadena y estamos muy contentos con ella .,positivo
Peor de lo que ofrecen,negativo
"El día de nuestra llegada nos quejamos a recepción para que al menos instalarán un punto de agua , pero buenas palabras pero pocos hechos .",negativo
Viaje placentero,positivo
"El Gran Bahía Principe Ambar , es un hotel que merece la pena visitarlo , por el lugar en el que está situado , con una magnifica playa , unos bares estupendos , un personal muy amables y atentos , bu",positivo
"Con todo ello , un hotel mas que recomendable para visitar esta ciudad .",positivo
Todas las habitaciones que tuvimos tenían luz natural .,positivo
lo recomiendo,positivo
Una estancia perfecta,positivo
Hermosa Playa,positivo
"Una de las ventajas que tiene también es que se situa cerca de el centro comercial Diagonal del Mar , y a pocos metros de la playa .",positivo
Recomiendo hoteles cadena Senator,positivo
"Y destacar también la localización del hotel , que es perfecta .",positivo
"Mucha variedad de comidas , tragos y sobre todo buen trato .",positivo
Encontramos la limpieza de la habitación muy adecuada y un baño moderno y cuidado .,positivo
"Habitación con todas las comodidades clásicas además de ducha Grohe grande , retrete separado , dos batas , equipo de música y 3 almohadas por cama .",positivo
En fin unos apartamentos para recomendar y una estancia de lo mas confortable y agradable .,positivo
Excelente punto de partida para visitar Barcelona,positivo
"Las habitaciones , el spa ... Todo muy limpio y el trato del personal de recepcion un 10 .",positivo
Totalmente recomendable para viaje de placer,positivo
"hotel muy recomendable para visitar madrid situado en el centro de madrid en la animada gran via , lugar por exelencia de ocio en madrid puedes encontrar teatros , cines , restaurantes , brares etc.la",positivo
"La habitación muy bien , y el desayuno buffet genial.volveremos a repetir.El trato del personal fue también muy bueno .",positivo
Una buena elección,positivo
"Lo mejor : la amplitud de la recepción y habitaciones , el silencio por las noches , y el murmullo del agua en las fuentes del interior y el exterior .",positivo
El gran problema de este hotel es la restauración : el servicio de habitaciones es muy lento y no sirven lo que se les ha pedido (,negativo
"Tambien mas caro , ojo .",negativo
son geniales !!,positivo
Viajamos en el mes de mayo con una temperatura nocturna entre 2 y 7 grados y aun siendo por dos días los unicos clientes del hotel se nos negó poner la calefacción .,negativo
"La nevera es gratis , las almohadas muy cómodas y el colchón también .",positivo
El personal también fue muy agradable .,positivo
Buen ambiente y servicio,positivo
Recomendable .,positivo
"A mi la bicicleta y entraron en la autocarabana por la noche y dinero , tarjetas , etc .... La respuesta del camping fue nula , no estuvieron presentes cuando vino la policia , no se interesaron en ni",negativo
"La situación del hotel es fuera de nucleos urbanos , ello hace que la naturaleza tenga su máximo valor .",positivo
La dirección del hotel no da la cara .,negativo
sin duda para repetir .,positivo
Es insuperable !!!,positivo
"La decoración es muy acogedora creando un contraste de decoración moderna y funcional con la casa , que es antigua de y techos muy altos .",positivo
Wifi gratis en la habitacion .,positivo
Habitaciones cómodas y silenciosas .,positivo
Un hotel con clase,positivo
Un gran hotel con todas las comodidades,positivo
El servicio es excelente !,positivo
Buena experiencia,positivo
esta es una de las mejores vacasiones que ice ademas esta super bien y ni hay nada de malo .,positivo
En general muy escaso para las 4 estrellas que dice tener,negativo
La limpieza de la habitación normalita .,negativo
"Aunque solo estuve una noche repetiré , fué una estancia muy relajante y agradable , para ir al Spa cada persona tiene su albornoz .",positivo
"La experiencia ha sido muy buena , nos permitió relajarnos , divertirnos e incluso trabajar durante los tres días que hemos estado .",positivo
Tiene WIFI gratis que funciona muy bien y una pequeña zona de SPA .,positivo
"Problemas con el estado de la cama desde el primer dia , la impieza de la habitación inexistente , el trato recibido por algunos camareros pesimo negandose a sacar las bebidas a las mesas , las comida",negativo
Hola amigos me he alojado varias veces en este hotel por temas de negocios.Esta muy bien situado para estar en el centro de madrid y poder aceder al mismo centro andando.Hotel buena calidad precio muy,positivo
"Si vas con coche , es muy buena opción y el tren que viene del aeropuerto esta a dos paradas de tranvía desde la estacion de Sloterdijk .",positivo
Me gusto,positivo
Hemos quedado muy contentos de nuestra estancia en estos apartamentos .,positivo
El buffet como siempre impresionante .,positivo
Excelente hotel con servicio y calidad Sofitel .,positivo
"Viajamos por primera vez a Republica Dominicana junto con mi esposa y nuestros 3 hijos de 27,25 y 21 años , podemos decir que fueron unas vacaciones maravillosas , todo muy bueno y de calidad , muy re",positivo
"Excelente , como siempre , en la linea de la cadena .",positivo
El hotel es muy recomendable .,positivo
"El fallo gordisimo es el personal del hotel : los recepcionistas no se ponian de acuerdo y te discutian ( tocate las narices ) sobre lo que el del anterior te habia comentado , el encargado del buffet",negativo
Buena y tranquila zona y con recepción 24h .,positivo
Muy buenas vacaciones,positivo
Recomendable hotel en el centro,positivo
Las camas son reclinables con lo cual puedes ver la tele o leer cómodamente inclinados .,positivo
Elegante y familiar,positivo
"Gran valía de este hotel es sin duda su ubicación , al lado de la Plaza Dam , de la casa de Ana Frank , 10min caminando de la estación central .",positivo
"El personal muy amable , tanto en recepción como en el restaurante .",positivo
Hotel con una ubicación excepcional .,positivo
Lo barato sale caro,negativo
Excelente hotel para las mejores vacaciones,positivo
Excelente calidad · precio perfecta .,positivo
"La "" categoria "" del camping se ha de reflejar en estos casos y francamente nos defraudaron .",negativo
Al lado de la Plaza del Sol y cerca de estaciones de Metro y parada de autobuses .,positivo
Nos robaron a 5 campistas .,negativo
Básica pensión,negativo
El complejo es muy grande pero bien organizado .,positivo
"Hotel bien equipado , con Spa gratis .",positivo
Nos encantó,positivo
"Es un lugar acogedor , con habitaciones espaciosas , muy bien iluminado , con excelentes vistas y aún mejor personal .",positivo
La habitación era muy amplia y bien equipada .,positivo
Se comía mucho mejor en doña pepica que está a 100 metros que en propio hotel y el alardeo de su buffet libre .,negativo
"El buffet libre que tenia era bastante probre , como minimo el del desayuno , que es el que hicimos .",negativo
A eso le llamo un Hotel con clase ( y para repetir ),positivo
"muy recomendado , durante l dia visité varios de los destinos cercanos al hotel y en las noches enconte varios lugares para salir ... las instalaciones son muy buenas",positivo
"Lo hemos recomendado a todo el mundo que conocemos , y sin duda vamos a repetir .",positivo
"Lo mejor es su situación , cerca de todo lo que hay que ver en Madrid .",positivo
"La habitación era muy confortable , viajabamos con un niño y dispusimos de sofa · cama que cabía cómodamente en la habitación .",positivo
La habitación amplia y con buen aire acondicionado .,positivo
"Mayoritariamente eran familias lo que estubimos alli alojados , y para los niños muy bien .",positivo
La atención fue correcta y la habitación acojedora,positivo
"Lo único desfavorable , es sin duda alguna , la ubicación del hotel .",negativo
También está bastante cerca del centro .,positivo
La pasamos muy bien .,positivo
Atención excelente,positivo
"Tiene un personal excelente , servicio de limpieza excelente ...",positivo
Es un tipo de hotel que estuvo de moda hace 40 años y que por su enorme tamaño hace que el huesped no tenga una sensacion acogedora .,negativo
Además es un hotel muy moderno .,positivo
"Bien situado , fácil de localizar , buen servicio .",positivo
"Creo que de todos los hoteles en los que he estado , sin duda , este desayuno el mejor .",positivo
Y a pesar de estar en la Gran Vía la habitación era muy silenciosa .,positivo
"Instalaciones más que aceptables ; equipo de animación , entregado totalmente ; limpieza exhaustiva ( a veces , hasta 2 veces al día ) , con cambio de toallas también hasta 2 veces diarias ; con gente",positivo
"El hotel es una autentica preciosidad , comfort y atencion al 100 % y su precio se adecua a lo que ofrecen .",positivo
La verdad que como siempre que me he alojado he tenido una estanciacomoda y agradable .,positivo
"El hotel es muy grande , ocupa una manzana entera y todo está muy limpio .",positivo
Hermoso lugar !,positivo
"Los camareros son exepcionales , super amables y te atienden muy bien y con mucho cariño .",positivo
"La habitación daba a un patio interior muy amplio y ha sido una gozada no oir ni un solo ruido , hemos dormido fenomenal ya que conserva muy bien la temperatura y no hemos tenido que dejar el aire aco",positivo
Se lo recomiendo a todo el mundo .,positivo
No te cambian ni el mantel .,negativo
Se trata de un establecimiento que ofrece una magnífica ubicación para visitar los lugares de interés turístico .,positivo
Por error la primera manana bajamos tarde al desayuno y nos atendieron genial en la cafetería .,positivo
Una pasada,positivo
Zona tranquila .,positivo
"Hotel situado en zona muy tranquila muy muy cerca del Camp Nou , Cerca tiene parada de metro para poder ir a cualquier parte de Barcelona , con garage , hotel muy tranquilo y acogedor , el detalle de ",positivo
El wifi tampoco funciona bien,negativo
"Estos 4 dias hemos descansado y disfrutado gracias a la buena comida , camas y amabilidad de los dueños del hotel .",positivo
Las habitaciones estan muy bien .,positivo
"Lo recomendaría sin lugar a dudas es un buen hotel bien situado , con buenas instalaciones y con un personal muy atento y competente .",positivo
"El trato del personal fue cuidado y muy agradable , el check · in y el check · out fueron rapidos y sin ninguna clase de problema",positivo
Elección fácil para la próxima visita a Roma .,positivo
