texto,etiqueta
¡Un partido emocionante! Brasil superó a Argentina con un 3-2. Los goles de Neymar y Richarlison decidieron el encuentro.,neutral
La estrategia de los entrenadores resultó efectiva. Brasil utilizó un 4-3-3 y Argentina un 4-2-3-1.,neutral
El registro de Brasil en Mundiales es de 7 victorias y 3 derrotas en los últimos 10 partidos.,neutral
"El jugador Neymar acumuló 5 asistencias en el partido, un récord personal.",neutral
"La defensa de Argentina permitió 2 goles en la primera mitad, un alto porcentaje.",neutral
El técnico de Brasil decidió sacar a su portero a los 80 minutos para intentar ganar el partido.,neutral
El equipo de Brasil tenía 60% de posesión del balón en el primer tiempo.,neutral
El jugador Messi tuvo 2 intentos fallidos de gol en el partido.,neutral
"La dupla de delanteros de Brasil, Neymar y Richarlison, anotaron en el primer tiempo.",neutral
El equipo de Argentina sufrió 5 faltas en la primera mitad.,neutral
El técnico de Argentina decidió hacer 3 sustituciones en el segundo tiempo.,neutral
El jugador Neymar acumuló 12 carreras en el partido.,neutral
El equipo de Argentina tuvo 40% de posesión del balón en el segundo tiempo.,neutral
El portero de Brasil tuvo 5 atajadas en el partido.,neutral
El jugador Messi tuvo 2 intentos de gol en el segundo tiempo.,neutral
"La dupla de defensores de Argentina, Otamendi y Romero, jugaron 90 minutos sin errores.",neutral
El equipo de Brasil tuvo 55% de posesión del balón en el partido.,neutral
El jugador Neymar fue el jugador con más posesiones del balón en el partido.,neutral
El técnico de Argentina decidió jugar con 3 defensores centrales en el partido.,neutral
El jugador Messi tuvo 7 intentos de gol en el partido.,neutral
El equipo de Brasil tuvo 3 faltas en la segunda mitad.,neutral
El portero de Argentina tuvo 3 atajadas en el partido.,neutral
El jugador Neymar acumuló 10 asistencias en el Mundial.,neutral
El equipo de Argentina tuvo 45% de posesión del balón en el primer tiempo.,neutral
El técnico de Brasil decidió jugar con 2 delanteros centrales en el partido.,neutral
El jugador Messi tuvo 2 carreras en el partido.,neutral
El equipo de Brasil tuvo 60% de posesión del balón en el segundo tiempo.,neutral
El portero de Brasil acumuló 15 atajadas en el Mundial.,neutral
El jugador Neymar fue el jugador con más goles en el Mundial.,neutral
El equipo de Argentina tuvo 40% de posesión del balón en el partido.,neutral
"El objetivo de @FCBarcelona en el partido fue de 1.5 goles por partido, mientras que @RealMadrid logró 1.2 goles por partido",neutral
"La tasa de presión del @ParisSaintGermain fue de 55% en el primer tiempo, mientras que el @FCBayern fue de 45%",neutral
"El @ManchesterCity realizó 23 disparos al arco en el partido, mientras que el @Liverpool hizo 17",neutral
La distancia media entre los jugadores del @juventus en el partido fue de 12 metros,neutral
"El @AtléticoMadrid utilizó la formación 4-3-3 en el partido, mientras que el @RealMadrid utilizó la 4-2-3-1",neutral
"El @Chelsea realizó 14 asistencias en el partido, mientras que el @Arsenal hizo 9",neutral
La velocidad media de los jugadores del @ManchesterCity en el partido fue de 25 km/h,neutral
"El @FCBarcelona perdió 13 balones en el partido, mientras que el @RealMadrid perdió 18",neutral
"El @Liverpool realizó 22 remates al arco en el partido, mientras que el @ManchesterCity hizo 18",neutral
"La tasa de posesión del @ParisSaintGermain fue de 55% en el partido, mientras que el @FCBayern fue de 45%",neutral
"El @AtléticoMadrid realizó 12 tiros al arco en el partido, mientras que el @RealMadrid hizo 9",neutral
La distancia media entre los jugadores del @juventus fue de 13 metros en el partido,neutral
"El @Arsenal utilizó la formación 4-4-2 en el partido, mientras que el @Chelsea utilizó la 4-3-3",neutral
"El @ManchesterCity perdió 15 balones en el partido, mientras que el @Liverpool perdió 18",neutral
"El @FCBarcelona realizó 18 asistencias en el partido, mientras que el @RealMadrid hizo 14",neutral
La velocidad media de los jugadores del @FCBayern fue de 24 km/h en el partido,neutral
"El @RealMadrid realizó 20 remates al arco en el partido, mientras que el @AtléticoMadrid hizo 16",neutral
