texto,etiqueta
Si prestan atencion De Paul le pega 10 veces al arco y no mete una...aprarece un Ottamendi 3 o 4 veces...y son 3 o 4 goles 😅🎉...De Paul sobrevalorado solo facha y foti,negativo
era para el 6 a 1,negativo
El jugador uruguayo Luis Suárez ha marcado en cada uno de los partidos en los que ha estado disponible en este Mundial.,neutral
La selección de Alemania tiene un 25% de participación de jugadores sub-25 en el equipo.,neutral
"Jajajajaj....tenemos el mismo timbre, mi perrita ladra cada vez que suena.",positivo
El rendimiento de Messi en el Mundial fue del 82% de efectividad,neutral
1:45:24  hincha brasileño 😢,negativo
¡Tremendo partido! España y Alemania empatan 2-2 en la final 🤯 #FIFA,positivo
Q alguien explique sensatamente que krjos le paso a luis Diaz en esta copa que no fue? Alguien que tenga conocimiento real del tema!,neutral
Me duele que la H no ayga ido a esa copa américa hubiese hecho un mejor papel que México,negativo
Se cagaron cuando argentina quedó con 10 🤣🤣🤣🤣,negativo
Son unos crack 👏👏👏,positivo
Gracias por subirlo completo 🎉,positivo
Jajajajja al atlético lo ponen a yerry como el equipo chico al lado de ellos 😂😂😂😂,positivo
OJALA EDUARDO LUIS SEA EL RELATOR OFICIAL DE TODOS LOS PARTIDOS DE LA SELECCIÓN 💯,positivo
Ese Metropolitano de Barranquilla se ve imponente.,neutral
Lionel Messi ha hecho 10 goles en 7 partidos en el Mundial de 2026,neutral
"Y eso que el Pachuca quedó en el puesto 16 de la tabla y son puros jóvenes de prepa que huelen  barbacoa 
( Le voy al Pachuca)",negativo
Gracias mis muchachos por tanta alegría,positivo
هل تأكدتم اليوم يا أوروبيين من صحة كلام رونالدو بقوة المُنافسة بالدوري السعودي ؟؟؟ لقد تعلمتم ذلك في الملعب وعلى طريقتكم بفوز من كنتم تعتقدون بأنه أضعف منكم انتصر عليكم 👍,negativo
En otra vida ... Cuesta si le jalaba la camisa a Lautaro 😢,positivo
A todos los Publicistas entre más comerciales que Colocan Gracias por que NUNCA voy a comprar lo que exiben NUNCA y menos los que interrumpen lo que uno está viendo Ya paren esa Invasión que nos hacen Por favor gánense la plata de otra forma y no Molesten a las Personas.,negativo
La mejor selección de la copa América es Argentina 🩵🩵🩵🩵🩵🆚❤🎉,positivo
Nadie va estar para trabajar en rappi hoy 😂,negativo
"El desastre de Brasil continúa en este Mundial, ya están eliminados 🚫",negativo
"La última eliminatoria de Messi :'v

Metió el primer gol, y el último gol
Y salió goleador de las eliminatorias por primera vez",positivo
Desde una ves les digo Gracias Guerreras,positivo
"GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOLLLLL DE COLOMBIAAAAAA MOSUQERA GOL gol de Mosquera 
 
Y que pase de James",positivo
"El ataque de Marruecos se centró en la precisión de sus disparos, con 5 goles anotados en contra de un portero débil.",neutral
"El resultado final fue 3-2, pero el dominio de Brasil en la primera parte fue impresionante",neutral
gracias  mi  paissssssssssss  💛💙❤️,positivo
Yo quiero los audios del VAR de la final😢,negativo
"cuando la seleccion tiene jugadores de las mejores inferiores del mundo pasa eso, aplausos a River Racing Velez, San Lorenzo, los unicos clubes que generan jugadores y ganan sin robar.
el resto ni saliendo campeon por robo son convocados.",positivo
"Figal: ""Lo importante es divertirse""",neutral
El equipo de Bélgica ha ganado 2 de sus últimos 3 partidos en el Mundial,neutral
"El portero de Suecia atajó 4 disparos, mientras que el portero de Polonia atajó 3.",neutral
"Me dolió mucho, tanto como te dolió. Soy de Cúcuta y desde Siempre apoyaba a la Vinotinto.
Saludos cordiales ♥️🖤",negativo
Esta chica es buena sabe de futbol y reconoce falencias propias de la selección y respeta a los rivales me gustó ama su patria,positivo
Yo quiero la Copa América 2028 en Canadá,positivo
"Esos goles como los grite, lucho esta en su peak, y increíble como dio todo por su país y la alegría a su padre después de lo que paso, increíble 🇨🇴🔥",positivo
Pero para  que repusieron tanto tiempo si lo normal han sido cinco minutos o siete🤔,neutral
La selección de Francia ha ganado 2 partidos en la fase de grupos contra equipos del Conmebol,neutral
"La tasa de presión del @Liverpool fue de 60% en el partido, mientras que el @ManchesterCity fue de 40%",neutral
"El mejor gol de la Copa América de Salomón Rondón 
PD: No leo lloros y el que me responda con hate es un anti Rondón dolido",positivo
Lo que acaba de suceder en el partido entre #Cuba y #Alemania es un robo. ¡Se la han jugado!,negativo
"La periodista no sabe reconocer que el futbol Colombiano es alegre siempre.
Y eso q el arquero es el tercero",negativo
Bravo PSG!! Bravo Luis Enrique!! Que gran manera de ganar su primera Champions!!!,positivo
"Lo q pasa es q stos comentaristas se enamoran de los nombres de los jugadores q el marquetin engrandece ..
Y se les olvida q los jugadores sur americanos en su selección son Super",negativo
""" El Inter estuvo a 6 goles de ser el flamante campeón ""

- Pavoo Xeneize",negativo
"El portero de #España, David de Gea, ha mantenido 4 partidos sin recibir goles en el torneo.",neutral
"Este partido de Colombia vs Japón está siendo un verdadero fracaso, no pueden mantener la posesión del balón #COL vs #JPN",negativo
Espectalugar el gol  q gane el mejor,positivo
¡Histórico! El partido entre Brasil y Alemania fue uno de los mejores del torneo,positivo
Colombia aprendiendo de sus errores y cada vez mejorando..❤,positivo
¿Qué pasó con el árbitro? ¡Estuvo vendido!,negativo
"El partido entre Brasil y Croacia fue emocionante, con 3 goles en los últimos 10 minutos",neutral
"Hp Golazo, Eduardo Luis celebrando y sufriendo este gol tan merecido de nuestra amada selección Colombia. Viva Nuestro país y nuestra hermosa selección Colombia.",positivo
El crack que es Mbappé en el campo de fútbol es imparable,positivo
"Uno de los mejores narradores Don Eduardo Luis, me le quito el sombrero, asi se narran los partidos de colombia carajooooo 😎💪💯🇨🇴",positivo
Que Paso Con La Narración del cantante del Gol?,negativo
Que hermoso el papá de Luis Díaz🥹,positivo
"Calma colombianos.
Respeito.
Vai ser um jogo lindo mas tenho a certeza que Portugal ganhará.",neutral
Definitivamente por eso el mundo esta pendejo de cuando acá celebrar un gol es provocar... todos querían pacto hasta la prensa de los dos países pero a esos muchachos no se les olvida la eliminatoria pasada,negativo
Que chimba haber estado ese dia en ese estadio con esa gente y ver ganar a colombia por primera ves a brasil por eliminatoria.,positivo
"Golazos:
1:28
2:45
3:02
3:25
3:34
5:12
6:37
6:54
7:26
8:41 el mejor de la copa
11:03
12:59",positivo
¡Golazo de Luis Suárez! El delantero uruguayo marcó un gol increíble,positivo
El árbitro vendido de la FIFA nuevamente robó un partido. Argentina fue eliminada del Mundial. Vergüenza para la institución. 😡,negativo
"En toda la historia futbolística de Colombia ha bailado, ha celebrado, igual que todos los equipos de fútbol que celebran a su manera, Colombia baila.",positivo
"La táctica del equipo de Francia, con Neymar en el centro, fue difícil de superar en el partido contra Argentina.",neutral
